original_Company Name,lat,lon,formatted,name,housenumber,street,postcode,district,county_code,city,county,state,state_code,country,country_code,
VFI SLK,13.106941,77.577065,"SLK Software, Yelahanka Satellite Town, Bangalore - 560064, KA, India",SLK Software,,,560064,Yelahanka,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Infrasoft Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
LocoNav,,,,,,,,,,,,,,,,
Dassault Systems,12.9299714,77.5740941,"Dassault Systems, MM Industries Road, Yediyuru, Bengaluru - 560070, KA, India",Dassault Systems,,MM Industries Road,560070,Bengaluru West City Corporation,BN,Bengaluru,Bangalore South,Karnataka,KA,India,in,
Data Glove,29.266385,75.995576,"Data, Hissar, India",,,,,,,Data,Hissar,Haryana,HR,India,in,
Incture,,,,,,,,,,,,,,,,
Fulcrum Digital Inc,,,,,,,,,,,,,,,,
MTX Group,16.417351,81.779701,"Madhya Group, East Godavari, India",,,,,,,Madhya Group,East Godavari,Andhra Pradesh,AP,India,in,
Urban Ladder,19.06307,72.8352389,"Urban Ladder, 250A, Linking Road, Khar, Mumbai - 400050, MH, India",Urban Ladder,250A,Linking Road,400050,Mumbai Zone 3,,Mumbai,Mumbai Suburban District,Maharashtra,MH,India,in,
SunTec Business Solutions,11.0108897,76.4860777,"Motorex Business Solutions, Mannarkkad-Aanakkati Road, Mannarkkad - 678582, KL, India",Motorex Business Solutions,,Mannarkkad-Aanakkati Road,678582,,PL,Mannarkkad,Mannarkad,Kerala,KL,India,in,
PureSoftware,28.6231687,77.3671322,"PureSoftware, Oshy Marg, Sector 62, Noida - 201301, UP, India",PureSoftware,,Oshy Marg,201301,,GB,Noida,Dadri,Uttar Pradesh,UP,India,in,
BetterPlace,12.9729053,77.6154772,"BetterPlace, Mahatma Gandhi Road, Ashokanagar, Bengaluru - 560025, KA, India",BetterPlace,,Mahatma Gandhi Road,560025,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
SugarBox Networks,12.9256413,77.6863239,"Applogic Networks, 1A, RMZ Ecoworld Internal Road, Shivanasamudra Ward, Bengaluru - 560103, KA, India",Applogic Networks,1A,RMZ Ecoworld Internal Road,560103,Bengaluru East City Corporation,BN,Bengaluru,Bangalore East,Karnataka,KA,India,in,
Polygon,13.0328374,80.2443589,"Prestige Polygon, Zone 9 Teynampet, Chennai - 600035, TN, India",Prestige Polygon,,,600035,Ward 122,,Chennai,Chennai,Tamil Nadu,TN,India,in,
Interra Information Technologies,31.5333033,75.9157511,"VaaSS Information Technologies Private Limited, 1-2, arya nagar, Mall Road, Aslamabad, Hoshiarpur - 146001, PB, India",VaaSS Information Technologies Private Limited,"1-2, arya nagar",Mall Road,146001,,HO,Hoshiarpur,Hoshiarpur Tahsil,Punjab,PB,India,in,
Ducen,12.9679914,80.2481244,"Ducen IT, # 4/363, Block-B, III Floor, Old Mahabalipuram Road, Zone 14 Perungudi, Chennai - 600096, TN, India",Ducen IT,"# 4/363, Block-B, III Floor",Old Mahabalipuram Road,600096,CMWSSB Division 183,,Chennai,Sholinganallur,Tamil Nadu,TN,India,in,
C,,,,,,,,,,,,,,,,
Trell,,,,,,,,,,,,,,,,
Newt Global Consulting,,,,,,,,,,,,,,,,
Imperative Business Ventures,,,,,,,,,,,,,,,,
SA Technologies,26.1686901,91.7820487,"Zoxola Technologies Pvt. Ltd., H.No. 58, Ambika giri nagar, Ambikagiri Nagar, Guwahati - 781024, AS, India",Zoxola Technologies Pvt. Ltd.,H.No. 58,Ambika giri nagar,781024,,,Guwahati,Dispur,Assam,AS,India,in,
Zaggle Prepaid Ocean Services,17.4454126,78.3851531,"Zaggle Prepaid Ocean Services Pvt Ltd., plot no 8, sector 1, Cyber Towers - Madhapur Main Road, Madhapur, Hyderabad - 500081, TG, India",Zaggle Prepaid Ocean Services Pvt Ltd.,"plot no 8, sector 1,",Cyber Towers - Madhapur Main Road,500081,Vittal Rao Nagar,,Hyderabad,Serilingampalle mandal,Telangana,TG,India,in,
Apolis,28.5050113,77.084844,"Apolis, Shankar Chowk Road, Sector 19, Gurgaon - 122016, HR, India",Apolis,,Shankar Chowk Road,122016,Gurgaon,GG,Gurgaon,Gurugram,Haryana,HR,India,in,
MResult,12.9733697,77.6136918,"Mresult Services Pvt Ltd, Mahatma Gandhi Road, Ashokanagar, Bengaluru - 560025, KA, India",Mresult Services Pvt Ltd,,Mahatma Gandhi Road,560025,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
NASSCOM,28.5169013,77.0806235,"NASSCOM Startup Warehouse, Sector 20, Gurgaon - 122999, HR, India",NASSCOM Startup Warehouse,,,122999,Gurgaon,,Gurgaon,,Haryana,HR,India,in,
Tata CLiQ,21.599926,82.922558,"Tata, Raipur, India",,,,,,,Tata,Raipur,Chhattisgarh,CT,India,in,
Near,9.7096968,76.6768536,"ICICI Bank, Near Head Post Office, Ettumanoor - Erattupetta - Poonjar Road, Kottaramattom, Pala - 686575, KL, India",ICICI Bank,Near Head Post Office,Ettumanoor - Erattupetta - Poonjar Road,686575,,,Pala,Meenachil,Kerala,KL,India,in,
Observe.AI,,,,,,,,,,,,,,,,
AQM Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Blazeclan Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Soroco,,,,,,,,,,,,,,,,
SE2,,,,,,,,,,,,,,,,
Ideas2IT Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Clarion Technologies,10.0029735,76.3622717,"Clarion Hotel Khayal, InfoPark Express Way, Edachira, Ernakulam - 682042, KL, India",Clarion Hotel Khayal,,InfoPark Express Way,682042,,ER,Ernakulam,Kanayannur,Kerala,KL,India,in,
Harbinger Group,18.5103615,73.794547,"Harbinger Group, Lane 3, Kothrud Karveroad, Pune - 411038, MH, India",Harbinger Group,,Lane 3,411038,Kothrud Karveroad,PU,Pune,Pune City,Maharashtra,MH,India,in,
CloudMoyo,,,,,,,,,,,,,,,,
Savantis Solutions LLC,,,,,,,,,,,,,,,,
Panzer Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
MyGlamm,,,,,,,,,,,,,,,,
Precision Technologies,21.0725117,79.0756202,"Precision E-Technologies Private Limited, NH47, Nagpur - 440025, MH, India",Precision E-Technologies Private Limited,,NH47,440025,,NG,Nagpur,Nagpur Urban Taluka,Maharashtra,MH,India,in,
