original_Company Name,lat,lon,formatted,name,housenumber,street,postcode,district,county_code,city,county,state,state_code,country,country_code,
MPS Interactive Systems,,,,,,,,,,,,,,,,
Accops Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,390007,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
Workforce Logiq,28.5050927,77.411036,"Eqo Logiq, Noida - 201305, UP, India",Eqo Logiq,,,201305,,GB,Noida,Gautam Buddha Nagar,Uttar Pradesh,UP,India,in,
Iron Systems,28.5247493,77.1849651,"Iron Pillar, Kalka Das Marg, Mehrauli, Delhi - 110030, DL, India",Iron Pillar,,Kalka Das Marg,110030,South Delhi,SW,Delhi,South West Delhi,Delhi,DL,India,in,
OnDemand Agility Solutions,,,,,,,,,,,,,,,,
Accubits Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
JSoft Solutions,12.9743659,77.6146309,"Jsoft Solutions Ltd, Dickenson Road, K Kamaraj Ward, Bengaluru - 560042, KA, India",Jsoft Solutions Ltd,,Dickenson Road,560042,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
EOX Vantage,,,,,,,,,,,,,,,,
Infotech Global,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,Rajasthan,RJ,India,in,
Excelra,,,,,,,,,,,,,,,,
TRUGlobal,,,,,,,,,,,,,,,,
Codingmart Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
CleverTap,,,,,,,,,,,,,,,,
MetaMorphoSys Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Valethi Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Mawai Infotech,26.740271,81.586818,"Mawai, Ayodhya, India",,,,,,,Mawai,Ayodhya,Uttar Pradesh,UP,India,in,
METRO SERVICES,9.9661241,76.2859843,"Metro Services, Mahatma Gandhi Road, Ernakulam South, Ernakulam - 682016, KL, India",Metro Services,,Mahatma Gandhi Road,682016,Pallimukku,ER,Ernakulam,Kanayannur,Kerala,KL,India,in,
WRENCH Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
Freshersworld.com,,,,,,,,,,,,,,,,
Mirafra Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Keka HR,29.143027,76.342784,"Haryana, India",Haryana,,,,,,,,Haryana,HR,India,in,
Zuci Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,390007,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
CloudSEK,,,,,,,,,,,,,,,,
Barry,18.9613916,72.8097044,"Barry Villa, Krishna Sangh Marg, Gamdevi, Mumbai - 400036, MH, India",Barry Villa,,Krishna Sangh Marg,400036,Mumbai Zone 1,MU,Mumbai,Mumbai City District,Maharashtra,MH,India,in,
CommerceIQ,,,,,,,,,,,,,,,,
Object Technology Solutions India,12.913535,80.219052,"Cognizant Technology Solutions, Elcot SEZ, Ward 197, Chennai - 600119, TN, India",Cognizant Technology Solutions,,Elcot SEZ,600119,Sholinganallur,CH,Chennai,Chennai,Tamil Nadu,TN,India,in,
Blue Flame Labs,15.5765587,73.7614742,"Blue Flame, Aguada - Siolim Road, Anjuna, Arpora - 403518, GA, India",Blue Flame,,Aguada - Siolim Road,403518,Gaum Vaddi,NG,Arpora,Bardez,Goa,GA,India,in,
cloudThing,,,,,,,,,,,,,,,,
Operative,9.9689455,76.2985589,"Indira Gandhi Co-Operative Hospital, Kadavanthra, Kochi - 682025, KL, India",Indira Gandhi Co-Operative Hospital,,,682025,Gandhi Nagar,,Kochi,Kanayannur,Kerala,KL,India,in,
Hiver,,,,,,,,,,,,,,,,
Valiance Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
Appitsimple Infotek,,,,,,,,,,,,,,,,
TOMIA,22.9469,83.88409,"Tomia, Jashpur, India",,,,,,,Tomia,Jashpur,Chhattisgarh,CT,India,in,
ManekTech,,,,,,,,,,,,,,,,
Feuji Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
TestingXperts,,,,,,,,,,,,,,,,
Polaris,19.1102044,72.8802577,"Polaris, Makwana Rd, Saki Naka, Mumbai - 400072, MH, India",Polaris,,Makwana Rd,400072,Mumbai Zone 3,MU,Mumbai,Mumbai Suburban District,Maharashtra,MH,India,in,
Junglee Games,26.753965,88.550384,"Junglee Mohal, Jalpaiguri, India",,,,,,,Junglee Mohal,Jalpaiguri,West Bengal,WB,India,in,
Newfold Digital,19.0128029,72.8277261,"Reliance Digital, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400025, MH, India",Reliance Digital,,Appasaheb Marathe Marg,400025,Mumbai Zone 2,MU,Mumbai,Mumbai City District,Maharashtra,MH,India,in,
Suyati Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Innovsource,19.1083433,72.925098,"Innovsource Services Private Limited, Unit No 401, Om Sadan, Mehra Industrial Estate, behind Jaswanti Landmark, Lal Bahadur Shastri Marg, Pirojsha Godrej Nagar, Mumbai - 400079, MH, India",Innovsource Services Private Limited,"Unit No 401, Om Sadan, Mehra Industrial Estate, behind Jaswanti Landmark",Lal Bahadur Shastri Marg,400079,Mumbai Zone 6,MU,Mumbai,Mumbai Suburban District,Maharashtra,MH,India,in,
Progility Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Manthan,18.6742785,73.8845159,"Manthan, Dehu - Alandi Road, Pimpri-Chinchwad - 412105, MH, India",Manthan,,Dehu - Alandi Road,412105,,PU,Pimpri-Chinchwad,Haveli,Maharashtra,MH,India,in,
bluCognition,,,,,,,,,,,,,,,,
QualiZeal,,,,,,,,,,,,,,,,
Goodera,,,,,,,,,,,,,,,,
Feat Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,390007,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
Amantya Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Sigmoid,,,,,,,,,,,,,,,,
Netradyne,12.982924,77.7512245,"Netradyne, Queenhills PG Road, S.M Krishna Ward, Bengaluru - 560066, KA, India",Netradyne,,Queenhills PG Road,560066,Bengaluru East City Corporation,BN,Bengaluru,Bangalore East,Karnataka,KA,India,in,
phData,,,,,,,,,,,,,,,,
CropIn Technology,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,NH325,343001,,JL,Jalore,Jalor Tehsil,Rajasthan,RJ,India,in,
Anthelio Healthcare Solutions,17.4437278,78.3738392,"Gebbs Healthcare Solutions, HITEC City–Madhapur Road, Ward 104 Kondapur, Hyderabad - 500081, TG, India",Gebbs Healthcare Solutions,,HITEC City–Madhapur Road,500081,West Zone,HY,Hyderabad,Serilingampalle mandal,Telangana,TG,India,in,
KiwiTech,,,,,,,,,,,,,,,,
Talentica Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,NH325,343001,,JL,Jalore,Jalor Tehsil,Rajasthan,RJ,India,in,
Volante Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
QUADRIFIC MEDIA,,,,,,,,,,,,,,,,
"TechnoGen,",,,,,,,,,,,,,,,,
Crayon Data,11.1859508,76.234392,"Crayon, Valanchery - Nilambur Road, Wandoor - 679328, KL, India",Crayon,,Valanchery - Nilambur Road,679328,,MA,Wandoor,Nilambur,Kerala,KL,India,in,
Lipi Data Systems,22.13184,80.96703,"Lipī Dādar, Balaghat, India",Lipī Dādar,,,,,BL,,Balaghat,Madhya Pradesh,MP,India,in,
Leading IT,21.185505,72.812877,"Leading to post office, Surat - 395014, GJ, India",,,Leading to post office,395014,,SR,Surat,Surat,Gujarat,GJ,India,in,
Trantor,,,,,,,,,,,,,,,,
Seanergy Digital,19.0128029,72.8277261,"Reliance Digital, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400025, MH, India",Reliance Digital,,Appasaheb Marathe Marg,400025,Mumbai Zone 2,MU,Mumbai,Mumbai City District,Maharashtra,MH,India,in,
Fission Labs,17.4348859,78.4033828,"Fission Labs, Jubilee Hills Road No 36, Jubilee Hills, Hyderabad - 500033, TG, India",Fission Labs,,Jubilee Hills Road No 36,500033,Greater Hyderabad Municipal Corporation Central Zone,HY,Hyderabad,Shaikpet mandal,Telangana,TG,India,in,
IndiaNIC Infotech,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,Rajasthan,RJ,India,in,
Innovapptive Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
O2F INFO SOLUTIONS,22.5541975,72.9478591,"Ananya Info Solutions, SF-229, NARAYAN EMPIRE, ANAND VIDYA NAGAR ROAD, Anand - 388001, GJ, India",Ananya Info Solutions,"SF-229, NARAYAN EMPIRE",ANAND VIDYA NAGAR ROAD,388001,,AN,Anand,Anand City Taluka,Gujarat,GJ,India,in,
SMARTe,,,,,,,,,,,,,,,,
SID Global Solutions,27.50809,79.14247,"Sid, Etah, India",,,,,,,Sid,Etah,Uttar Pradesh,UP,India,in,
InfraCloud Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Safe Security,17.3511807,78.4803061,"Safe Haven, Darul Shifa Road, Ward 33 Moghalpura, Hyderabad - 500065, TG, India",Safe Haven,,Darul Shifa Road,500065,Greater Hyderabad Municipal Corporation South Zone,HY,Hyderabad,Charminar mandal,Telangana,TG,India,in,
Monster India,28.193235,94.154038,"Arunachal Pradesh, India",Arunachal Pradesh,,,,,,,,,,India,in,
CIGNEX Datamatics,11.94138,79.807237,"Lumina DataMatics, Vazhudavoor Road, Oulgaret - 605009, PY, India",Lumina DataMatics,,Vazhudavoor Road,605009,,VL,Oulgaret,Pondicherry,Puducherry,PY,India,in,
Enterprise Minds,16.4887566,80.6718069,"Losra Enterprises, Yanamakuduru Road, Patamata, Vijayawada - 520001, AP, India",Losra Enterprises,,Yanamakuduru Road,520001,Ayyappa Nagar,KR,Vijayawada,Vijayawada (Urban),Andhra Pradesh,AP,India,in,
Avesta Computer Services,20.2679663,86.6609867,"Paradip Online Computer Services, Unit-1, Vijaya Market, Paradip Port Expressway, Paradip - 754142, OR, India",Paradip Online Computer Services,"Unit-1, Vijaya Market",Paradip Port Expressway,754142,,JS,Paradip,Paradip,Odisha,OR,India,in,
NielsenIQ,,,,,,,,,,,,,,,,
Payoda Technology,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,NH325,343001,,JL,Jalore,Jalor Tehsil,Rajasthan,RJ,India,in,
CriticalRiver,,,,,,,,,,,,,,,,
ABM Knowledgeware,23.2633705,77.3938848,"ABM Muntispeciality Hospital, Taj-ul-Masajid Road, Ibrahimpura, Bhopal - 462001, MP, India",ABM Muntispeciality Hospital,,Taj-ul-Masajid Road,462001,Bhopal,BP,Bhopal,Huzur Tahsil,Madhya Pradesh,MP,India,in,
Techila Global Services,12.980156,77.602371,"VFS Global Services, Unit No. 305, Level 3, Second Floor, Prestige Atrium, No.1 Central Street, Shivaji Nagar, Central Street, Sampangiram Nagar, Bangalore - 560001, KA, India",VFS Global Services,"Unit No. 305, Level 3, Second Floor, Prestige Atrium, No.1 Central Street, Shivaji Nagar",Central Street,560001,East Bangalore,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Diverse Lynx,,,,,,,,,,,,,,,,
Muvi.com,,,,,,,,,,,,,,,,
Valenta,,,,,,,,,,,,,,,,
"MaxVal Group,",16.417351,81.779701,"Madhya Group, East Godavari, India",,,,,,,Madhya Group,East Godavari,Andhra Pradesh,AP,India,in,
Insemi Technology Services,12.972063,80.243268,"Ford Technology Services, Ward 184, Chennai - 600096, TN, India",,,Ford Technology Services,600096,Perungudi,CH,Chennai,Chennai,Tamil Nadu,TN,India,in,
Wunderman Thompson Commerce,,,,,,,,,,,,,,,,
Cyware,,,,,,,,,,,,,,,,
Decimal Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
FloBiz,,,,,,,,,,,,,,,,
Avataar.Me,,,,,,,,,,,,,,,,
"Antra,",24.6396717,81.6459764,"Antra, Raipur-Karchuliyan Tahsil, India",,,,,Antra,,Antra,Raipur-Karchuliyan Tahsil,Madhya Pradesh,MP,India,in,
NxtGen Infinite Datacenter,,,,,,,,,,,,,,,,
Algonomy,12.9752727,77.5995395,"Algonomy, 40/4, Lavelle Road, Ashokanagar, Bengaluru - 560001, KA, India",Algonomy,40/4,Lavelle Road,560001,Bengaluru Central City Corporation,,Bengaluru,Bangalore North,Karnataka,KA,India,in,
Taazaa Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
Mergen IT LLC,,,,,,,,,,,,,,,,
Optimize IT Systems,,,,,,,,,,,,,,,,
Profinch,,,,,,,,,,,,,,,,
Niveus Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
TekLink International,28.409119,77.062388,"DPS International, Sector 50, Gurugram - 122001, HR, India",DPS International,,Sector 50,122001,,GG,Gurugram,Gurugram,Haryana,HR,India,in,
Prowess Software Services,12.9258227,77.6866283,"GrayMatter Software Services Pvt. Ltd., 20, RMZ Eco World Road, Shivanasamudra Ward, Bengaluru - 560103, KA, India",GrayMatter Software Services Pvt. Ltd.,20,RMZ Eco World Road,560103,Bengaluru East City Corporation,BN,Bengaluru,Bangalore East,Karnataka,KA,India,in,
Hevo Data,29.266385,75.995576,"Data, Hissar, India",,,,,,,Data,Hissar,Haryana,HR,India,in,
Tavisca,,,,,,,,,,,,,,,,
ST Telemedia Global Data Centres,,,,,,,,,,,,,,,,
EbixCash Financial Technologies,18.5259541,73.7715989,"Ebixcash Technologies Pvt Ltd, Bavdhan Budruk, Pune - 411001, MH, India",Ebixcash Technologies Pvt Ltd,,Ebixcash Technologies Pvt Ltd,411001,,PU,Pune,Pune City,Maharashtra,MH,India,in,
"Core Solutions,",12.94995,77.747218,"Core 3, Varthuru, Bangalore - 560087, KA, India",,,Core 3,560087,Mahadevapura,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Impiger Technologies,10.9997692,76.9859178,"Impiger Technologies, Kamarjar Road, Red Fields, Coimbatore - 641045, TN, India",Impiger Technologies,,Kamarjar Road,641045,Central Zone,CM,Coimbatore,Coimbatore North,Tamil Nadu,TN,India,in,
Games24x7,,,,,,,,,,,,,,,,
ValGenesis,,,,,,,,,,,,,,,,
Quadrant Resource,10.728296,79.020021,"Knowledge Resource Centre, Thirumalaisamuthiram - 613401, TN, India",,,Knowledge Resource Centre,613401,,TJ,Thirumalaisamuthiram,Thanjavur,Tamil Nadu,TN,India,in,
BUDDI AI,21.9175417,79.3848601,"Buddi, Kurai Tahsil, India",,,,,Buddi,,Buddi,Kurai Tahsil,Madhya Pradesh,MP,India,in,
Nexval Group,16.417351,81.779701,"Madhya Group, East Godavari, India",,,,,,,Madhya Group,East Godavari,Andhra Pradesh,AP,India,in,
InfraBeat Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Litmus7,10.011894,76.3664951,"Litmus7, 208, Kakkanad-InfoPark-Karimugal Road, Edachira, Ernakulam - 682042, KL, India",Litmus7,208,Kakkanad-InfoPark-Karimugal Road,682042,,ER,Ernakulam,Kanayannur,Kerala,KL,India,in,
Celcom Solutions Global,12.9586068,77.564911,"Sidvin global solutions, 3rd Main Road, Chamarajapete, Bengaluru - 560018, KA, India",Sidvin global solutions,,3rd Main Road,560018,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
Netsmartz,,,,,,,,,,,,,,,,
ProV International,28.409119,77.062388,"DPS International, Sector 50, Gurugram - 122001, HR, India",DPS International,,Sector 50,122001,,GG,Gurugram,Gurugram,Haryana,HR,India,in,
InfoStride,,,,,,,,,,,,,,,,
Select Source International,12.973525,77.608123,"Select Bookshop, Shantala Nagar, Bangalore - 560025, KA, India",Select Bookshop,,,560025,East Bangalore,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
ReshaMandi,,,,,,,,,,,,,,,,
Kumaran Systems,12.8191471,80.2172957,"Kumaran Systems, Sixth Cross Road, Siruseri, Pudupakkam - 603103, TN, India",Kumaran Systems,,Sixth Cross Road,603103,,KC,Pudupakkam,Tiruporur,Tamil Nadu,TN,India,in,
Y Media Labs,13.0139108,77.570273,"Science Media Center, CV Raman Road, Sadashivanagar, Bengaluru - 560012, KA, India",Science Media Center,,CV Raman Road,560012,Bengaluru West City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
NR Consulting,28.6200898,77.0363489,"WSNE Consulting, Nawada, Delhi, West Delhi, India",WSNE Consulting,,,,West Delhi,,Delhi,,,,India,in,
MediaAgility,,,,,,,,,,,,,,,,
Ecolab Digital Center,8.4323135,77.0178429,"Smart Digital Customer Service Centre, Vedivachan Koil to Vellayani, Mukaloormoola, Thiruvananthapuram - 695001, KL, India",Smart Digital Customer Service Centre,,"Vedivachan Koil to Vellayani, Mukaloormoola",695001,,TV,Thiruvananthapuram,Thiruvananthapuram,Kerala,KL,India,in,
_G10X,,,,,,,,,,,,,,,,
VRIZE,,,,,,,,,,,,,,,,
Perennial Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,390007,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
Estuate,,,,,,,,,,,,,,,,
Colruyt India,17.4436265,78.381557,"Colruyt IT Consultancy India Pvt. Ltd., Raheja, Madhapur, Hyderabad - 500081, TG, India",Colruyt IT Consultancy India Pvt. Ltd.,,Raheja,500081,Vittal Rao Nagar,HY,Hyderabad,Serilingampalle mandal,Telangana,TG,India,in,
Windmill,10.5829554,77.2113149,"Windmill, Mukkonam - 642126, TN, India",Windmill,,Windmill,642126,,TP,Mukkonam,Udumalaipettai,Tamil Nadu,TN,India,in,
QBrainX Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
Recro,,,,,,,,,,,,,,,,
Antier Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
Beyond Key,9.985328,76.441208,"Varghese KY, - 682310, KL, India",,,Varghese KY,682310,,ER,,Ernakulam,Kerala,KL,India,in,
Wunderman Thompson MSC,,,,,,,,,,,,,,,,
Hanu Software,22.032864,87.861743,"Hanu Bhunya, Purba Medinipur, India",,,,,,,Hanu Bhunya,Purba Medinipur,West Bengal,WB,India,in,
Claim Genius,12.978067,77.63345,"Genius, Hoysala Nagar, Bangalore - 560038, KA, India",Genius,,,560038,East Bangalore,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Secure,12.926269,77.5829829,"Vision Karnataka Secure Solutions, 33rd Cross Road, Byrasandra, Bengaluru - 560011, KA, India",Vision Karnataka Secure Solutions,,33rd Cross Road,560011,Bengaluru South City Corporation,,Bengaluru,Bangalore South,Karnataka,KA,India,in,
Dimagi,23.244307,69.679561,"Mental Hospital, Atmaram Marg, Bhuj - 370001, GJ, India",Mental Hospital,,Atmaram Marg,370001,,,Bhuj,Bhuj Taluka,Gujarat,GJ,India,in,
Stanley David and Associates,10.554635,76.072127,"A And B Associates Jn, Thrissur, India",,,,,,,A And B Associates Jn,Thrissur,Kerala,KL,India,in,
Great Place IT Services,,,,,,,,,,,,,,,,
Utthunga,12.9364905,77.5774153,"Utthunga - Product Engineering Services & Industrial Solutions Company, South End Road, Yediyuru, Bengaluru - 560004, KA, India",Utthunga - Product Engineering Services & Industrial Solutions Company,,South End Road,560004,Bengaluru West City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
Grassroots,,,,,,,,,,,,,,,,
SecureKloud Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
ADK Rage,20.1221743,85.090451,"Nayagarh mountain rage, Nayagarh - 752069, OR, India",Nayagarh mountain rage,,,752069,,NY,Nayagarh,Nayagarh,Odisha,OR,India,in,
Auzmor,,,,,,,,,,,,,,,,
Capsitech,,,,,,,,,,,,,,,,
Innive Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
DSM SOFT,29.022531,73.339842,"3 DSM, Ganganagar, India",,,,,,,3 DSM,Ganganagar,Rajasthan,RJ,India,in,
Customer Centria,28.524556,77.206282,"Customer Contact Centre, Saket, Delhi - 110017, DL, India",,,Customer Contact Centre,110017,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Enhance IT,9.3891236,76.5769632,"Enhance Restaurant, Thiruvalla - Mallappally Road, Muthoor, Thiruvalla - 689111, KL, India",Enhance Restaurant,,Thiruvalla - Mallappally Road,689111,,PT,Thiruvalla,Thiruvalla,Kerala,KL,India,in,
TEKsystems Global Services in India,12.980156,77.602371,"VFS Global Services, Unit No. 305, Level 3, Second Floor, Prestige Atrium, No.1 Central Street, Shivaji Nagar, Central Street, Sampangiram Nagar, Bangalore - 560001, KA, India",VFS Global Services,"Unit No. 305, Level 3, Second Floor, Prestige Atrium, No.1 Central Street, Shivaji Nagar",Central Street,560001,East Bangalore,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Delphix,,,,,,,,,,,,,,,,
CoreStack,,,,,,,,,,,,,,,,
Flytxt,,,,,,,,,,,,,,,,
Fourth Dimension Solutions,19.0086914,73.0303614,"Fourth Dimension Realty - Shelton Sapphire, Amra Marg, Belapur West, Navi Mumbai - 400706, MH, India",Fourth Dimension Realty - Shelton Sapphire,,Amra Marg,400706,Belapur Village,TN,Navi Mumbai,Thane Subdistrict,Maharashtra,MH,India,in,
Novopay,,,,,,,,,,,,,,,,
Sentieo,,,,,,,,,,,,,,,,
Capricot Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
ShoreWise Consulting,28.4935315,77.088317,"Boston Consulting Group, DLF Tower 10th Road, Sector 25A, Gurgaon - 122010, HR, India",Boston Consulting Group,,DLF Tower 10th Road,122010,Gurgaon,GG,Gurgaon,Gurugram,Haryana,HR,India,in,
Cleo,11.3027703,75.8104269,"Cleo, Paroppady-Kannadikkal Road, Kozhikode - 673012, KL, India",Cleo,,Paroppady-Kannadikkal Road,673012,,KZ,Kozhikode,Kozhikode,Kerala,KL,India,in,
Appventurez,,,,,,,,,,,,,,,,
KnackForge,,,,,,,,,,,,,,,,
MangoApps,,,,,,,,,,,,,,,,
HPL,22.8316205,88.1191461,"Haripal, SH2, Haripal - 712405, WB, India",Haripal,,SH2,712405,,,Haripal,Haripal,West Bengal,WB,India,in,
Net Business Solutions,25.584925,75.570737,"Net, Bundi, India",,,,,,,Net,Bundi,Rajasthan,RJ,India,in,
CompuMatrice,,,,,,,,,,,,,,,,
Zenwork,,,,,,,,,,,,,,,,
Transact Global,27.501023,82.794713,"Global, Barhani Bazar, Siddharth Nagar, India",Global,,,,,SN,Barhani Bazar,Siddharth Nagar,Uttar Pradesh,UP,India,in,
FIME,,,,,,,,,,,,,,,,
Grasko Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
Arcadia,18.9246454,72.8207068,"Arcadia, Colaba, Mumbai City District, India",Arcadia,,,,Mumbai Zone 1,,,Mumbai City District,Maharashtra,MH,India,in,
Deskera,,,,,,,,,,,,,,,,
Trilogy Innovations,17.4523593,78.3628041,"Euclid Innovations, 650 SLN Terminus, Gachibowli - Miyapur Highway, Ward 106 Serilingampally, Hyderabad - 500084, TG, India",Euclid Innovations,650 SLN Terminus,Gachibowli - Miyapur Highway,500084,Studiorigin - Interior Designer in Hyderabad,HY,Hyderabad,Serilingampalle mandal,Telangana,TG,India,in,
Ginesys,,,,,,,,,,,,,,,,
Reltio,12.8995288,77.6311971,"Reltio, AMR Tech Park Road, Garvebavi Palya, Bengaluru - 560068, KA, India",Reltio,,AMR Tech Park Road,560068,Bengaluru South City Corporation,BN,Bengaluru,Bangalore South,Karnataka,KA,India,in,
eRevMax,,,,,,,,,,,,,,,,
Julia Computing,11.6678189,76.2511696,"Center for social computing, Sultan Bathery - Kattayad - Pazhuppathur Road, Sultan Bathery - 673592, KL, India",Center for social computing,,Sultan Bathery - Kattayad - Pazhuppathur Road,673592,,WA,Sultan Bathery,Sulthanbathery,Kerala,KL,India,in,
SirionLabs,,,,,,,,,,,,,,,,
Talisma,,,,,,,,,,,,,,,,
