original_Names,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,county_code,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Juntran Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Heptagon Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
SigTuple,,,,,,,,,,,,,,,,,,,,
Magic EdTech,12.9792783,77.6951985,"Lassi Magic, Service Road, Dodda Nekkundi, Bengaluru - 560048, KA, India",Lassi Magic,,Service Road,Bengaluru East City Corporation,Dodda Nekkundi,560048,Bengaluru,Bangalore East,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Prodevans Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
VOLANSYS,,,,,,,,,,,,,,,,,,,,
MatchPoint Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,East Bangalore,Mobipro Solutions,,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Bizom,,,,,,,,,,,,,,,,,,,,
RxLogix,,,,,,,,,,,,,,,,,,,,
SixSails,,,,,,,,,,,,,,,,,,,,
Accelalpha,,,,,,,,,,,,,,,,,,,,
Deque Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,,,390007,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
eReleGo Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
ARK Infosolutions,15.5764997,73.7448343,"Goa's Ark, 882, Flea Market Road, Anjuna, - 403509, GA, India",Goa's Ark,882,Flea Market Road,Grande Peddem,Anjuna,403509,,Bardez,NG,Goa,GA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Naico ITS,22.25084,84.85775,"Raurkela ITS P S, Sundargarh, India",,,,,,,Raurkela ITS P S,Sundargarh,SU,Odisha,OR,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Editorialist,,,,,,,,,,,,,,,,,,,,
Blume Global,,,,,,,,,,,,,,,,,,,,
Concord Technologies,11.954028,75.51391,"Concord Public School, Thalasseri - Irikkur Road, Nayattupara - 670595, KL, India",Concord Public School,,Thalasseri - Irikkur Road,,,670595,Nayattupara,Kannur,KN,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Spiceworks Ziff Davis,,,,,,,,,,,,,,,,,,,,
TALENTPLOYER,,,,,,,,,,,,,,,,,,,,
Evolgence Telecom Systems,,,,,,,,,,,,,,,,,,,,
Wibmo,,,,,,,,,,,,,,,,,,,,
DLT Labs,13.01012,77.644967,"Saartha Labs Private Labs, 12, 2nd floor, Banaswadi Main Road, Banasavadi, Bangalore - 560043, KA, India",Saartha Labs Private Labs,"12, 2nd floor",Banaswadi Main Road,East Bangalore,Banasavadi,560043,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
RevGurus Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,Webmyne INC,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
MulticoreWare Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,Webmyne INC,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Cognitus,,,,,,,,,,,,,,,,,,,,
ContractPodAi,,,,,,,,,,,,,,,,,,,,
Gameopedia,,,,,,,,,,,,,,,,,,,,
Saviant Consulting,28.4935315,77.088317,"Boston Consulting Group, DLF Tower 10th Road, Sector 25A, Gurgaon - 122010, HR, India",Boston Consulting Group,,DLF Tower 10th Road,Gurgaon,Sector 25A,122010,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ReBIT,,,,,,,,,,,,,,,,,,,,
CashKaro.com,,,,,,,,,,,,,,,,,,,,
RAH Infotech,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Tata Communications,18.9344358,72.8306851,"Tata Communications, Fort, Mumbai City District, India",Tata Communications,,,Mumbai Zone 1,Fort,,,Mumbai City District,,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KlearNow,,,,,,,,,,,,,,,,,,,,
FranConnect,,,,,,,,,,,,,,,,,,,,
Anaqua,,,,,,,,,,,,,,,,,,,,
Kiya.ai,32.7967356,76.1976313,"Kiya - 176321, HP, India",,,,,,176321,Kiya,Chaurah,,Himachal Pradesh,HP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Netomi,,,,,,,,,,,,,,,,,,,,
Petro IT,22.37549,73.11812,"Petro-Chemical Complex INA, Vadodara, India",,,,,,,Petro-Chemical Complex INA,Vadodara,,Gujarat,GJ,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
JUSPAY,22.5691231,88.4358321,"The Meridian, Juspay Office, Ring Road, Sector V, Bidhannagar - 700091, WB, India",The Meridian,Juspay Office,Ring Road,GP Block,Sector V,700091,Bidhannagar,Bidhannagar,,West Bengal,WB,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Milkbasket,28.6042183,77.3916146,"Milkbasket, Noida, Dadri, India",Milkbasket,,,,Milkbasket,,Noida,Dadri,,Uttar Pradesh,UP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
coMakeIT,,,,,,,,,,,,,,,,,,,,
Tanisha Systems,19.0687195,72.8357291,"Tanisha, 9th Road, Khar, Mumbai - 400052, MH, India",Tanisha,,9th Road,Mumbai Zone 3,Khar,400052,Mumbai,Mumbai Suburban District,MU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sense,13.057458,77.5910073,"4 Sense Skin, Hair And ENT Clinic, Kodigehalli Road, Sahakaranagara, Bengaluru - 560092, KA, India","4 Sense Skin, Hair And ENT Clinic",,Kodigehalli Road,Bengaluru North City Corporation,Sahakaranagara,560092,Bengaluru,Yelahanka taluku,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Virtual Height IT Services,,,,,,,,,,,,,,,,,,,,
Digitate,,,,,,,,,,,,,,,,,,,,
ACPL Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,,,390007,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NuWare,12.9789822,77.6448949,"Nuware Systems, Sri Krishna Temple Road, Indiranagar, Bengaluru - 560038, KA, India",Nuware Systems,,Sri Krishna Temple Road,Bengaluru Central City Corporation,Indiranagar,560038,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Softenger,,,,,,,,,,,,,,,,,,,,
"Digite,",,,,,,,,,,,,,,,,,,,,
LRN,,,,,,,,,,,,,,,,,,,,
Four Soft,12.8705307,77.5374469,"Soft Designers, 234/146, Kanakapura Road, Talagattapura, Bengaluru - 560062, KA, India",Soft Designers,234/146,Kanakapura Road,Bengaluru South City Corporation,Talagattapura,560062,Bengaluru,Bangalore South,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BlueRose Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Valuepitch E Technologies,13.1740188,77.741812,"North East Technologies, Ramanahalli - 560300, KA, India",North East Technologies,,North East Technologies,,North East Technologies,560300,Ramanahalli,Devanahalli taluku,BU,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Agile Global Solutions,12.9586068,77.564911,"Sidvin global solutions, 3rd Main Road, Chamarajapete, Bengaluru - 560018, KA, India",Sidvin global solutions,,3rd Main Road,Bengaluru Central City Corporation,Chamarajapete,560018,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NetCom Learning,9.587475,76.528214,"Inspire Learning, Erayil kadavu Road, Kottayam - 686004, KL, India",Inspire Learning,,Erayil kadavu Road,,,686004,Kottayam,Kottayam,KT,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kastech Software Solutions Group,,,,,,,,,,,,,,,,,,,,
Soltius Indonesia,,,,,,,,,,,,,,,,,,,,
Atyeti Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,Webmyne INC,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Ameyo,,,,,,,,,,,,,,,,,,,,
ValueCoders,,,,,,,,,,,,,,,,,,,,
Destek Infosolutions,,,,,,,,,,,,,,,,,,,,
Aurus Inc,18.560962,73.769364,"Aurus, Aundh, Pune - 411045, MH, India",,,Aurus,Aundh,,411045,Pune,Pune,PU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ayoconnect,,,,,,,,,,,,,,,,,,,,
Signity Software Solutions,12.9864281,77.5952553,"Planvisage Software Solutions, 35/1, 2nd Floor, Cunningham Hallmark, Cunningham Road, Vasanth Nagar, Bengaluru - 560001, KA, India",Planvisage Software Solutions,"35/1, 2nd Floor, Cunningham Hallmark",Cunningham Road,Bengaluru Central City Corporation,Vasanth Nagar,560001,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
RudderStack,,,,,,,,,,,,,,,,,,,,
Neudesic Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Leader Investment Group,25.443491,81.830934,"Leader Road, Allahabad - 211023, UP, India",,,Leader Road,,,211023,Allahabad,Allahabad,AH,Uttar Pradesh,UP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tarento Group,16.417351,81.779701,"Madhya Group, East Godavari, India",,,,,,,Madhya Group,East Godavari,,Andhra Pradesh,AP,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Netcon Technologies India,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Credencys Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,East Bangalore,Mobipro Solutions,,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Hexagon Geosystems,23.1780807,80.0245589,"Hexagon, Airport Road, Cantonment, Jabalpur - 482005, MP, India",Hexagon,,Airport Road,Cantonment,,482005,Jabalpur,Ranjhi Tahsil,JA,Madhya Pradesh,MP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SCIO Health Analytics,,,,,,,,,,,,,,,,,,,,
ITTDigital,,,,,,,,,,,,,,,,,,,,
CallidusCloud,,,,,,,,,,,,,,,,,,,,
Aggne,,,,,,,,,,,,,,,,,,,,
Infinite Uptime,12.897349,77.677868,"Century infinite, Bellanduru, Bangalore - 560035, KA, India",,,Century infinite,Mahadevapura,Bellanduru,560035,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
CyberSec Consulting,28.4935315,77.088317,"Boston Consulting Group, DLF Tower 10th Road, Sector 25A, Gurgaon - 122010, HR, India",Boston Consulting Group,,DLF Tower 10th Road,Gurgaon,Sector 25A,122010,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aptos Retail,12.9339541,77.6943737,"Aptos, BGL17 Exit, Panathur, Bengaluru - 560103, KA, India",Aptos,,BGL17 Exit,Bengaluru East City Corporation,Panathur,560103,Bengaluru,Bangalore East,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Applexus Technologies,12.915981,77.651606,"Foradian Technologies, 2569/665, 27th Main Rd, 1st Sector, HSR Layout, HSR Layout, Bangalore - 560102, KA, India",Foradian Technologies,2569/665,"27th Main Rd, 1st Sector, HSR Layout",Bommanahalli ,HSR Layout,560102,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Alchemy Techsol India,12.9658984,77.5985652,"Alchemy, Field Marshal Cariappa Cycle Path, Ashokanagar, Bengaluru - 560025, KA, India",Alchemy,,Field Marshal Cariappa Cycle Path,Bengaluru Central City Corporation,Ashokanagar,560025,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Merkle Science,23.077854,72.494798,"Science City, Sola, Bhadaj - 382220, GJ, India",Science City,,,,Sola,382220,Bhadaj,Ghatlodiya Taluka,,Gujarat,GJ,India,in,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Virinchi,12.9743864,77.7148709,"Virinchi Residence, 7th Cross Road, EPIP Zone, Bengaluru - 560066, KA, India",Virinchi Residence,,7th Cross Road,Bengaluru East City Corporation,EPIP Zone,560066,Bengaluru,Bangalore East,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tenerity India,,,,,,,,,,,,,,,,,,,,
Cientra,,,,,,,,,,,,,,,,,,,,
JioSaavn,,,,,,,,,,,,,,,,,,,,
Solution Analysts,25.624946,85.05557,"Print Solution, 2, Gola Road, Danapur, Dinapore - 801503, BR, India",Print Solution,2,"Gola Road, Danapur",,,801503,Dinapore,Patna,PA,Bihar,BR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Encore Software Services,",17.4386629,78.3869782,"Jigya Software Services, 12, Vittal rao Nagar road, Madhapur, Hyderabad - 500081, TG, India",Jigya Software Services,12,Vittal rao Nagar road,West Zone,Madhapur,500081,Hyderabad,Serilingampalle mandal,HY,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gram Tarang Employability Training Services,,,,,,,,,,,,,,,,,,,,
MobileCoderz,,,,,,,,,,,,,,,,,,,,
Pratham Software,26.302631,89.619824,"Ghogarkuthi Pratham Khanda, Koch Bihar, India",,,,,,,Ghogarkuthi Pratham Khanda,Koch Bihar,,West Bengal,WB,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Cyntexa,,,,,,,,,,,,,,,,,,,,
Intelegencia,,,,,,,,,,,,,,,,,,,,
TransUnion CIBIL,,,,,,,,,,,,,,,,,,,,
Klaus IT Solutions,,,,,,,,,,,,,,,,,,,,
Zoondia,,,,,,,,,,,,,,,,,,,,
impress.ai,,,,,,,,,,,,,,,,,,,,
CTS,19.0761014,72.8278013,"CTS PLOT NO 896, Bandra West, Mumbai, Mumbai Suburban District, India",CTS PLOT NO 896,,,Mumbai Zone 3,Bandra West,,Mumbai,Mumbai Suburban District,,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fiserv Insurance Solutions,12.975781,77.604384,"Future Generali Total Insurance Solutions, Shantala Nagar, Bangalore - 560001, KA, India",Future Generali Total Insurance Solutions,,,East Bangalore,Shantala Nagar,560001,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Drishti,30.7653039,75.7633914,"Drishti, Ballowal - Narangwal Kalan Road, Narangwal Kalan - 141203, PB, India",Drishti,,Ballowal - Narangwal Kalan Road,,,141203,Narangwal Kalan,Ludhiana (West) Tahsil,LU,Punjab,PB,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Value Point Systems,13.057181,80.201069,"PNT Road, Ward 129, Chennai - 600107, TN, India",,,PNT Road,Kodambakkam,Ward 129,600107,Chennai,Chennai,CH,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Frontizo Business Services,10.532049,76.2623842,"GramPro Business Services Private Limited, Mannuthy Urakkam Road, Thrissur - 680655, KL, India",GramPro Business Services Private Limited,,Mannuthy Urakkam Road,,,680655,Thrissur,Thrissur,TS,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Probe42,,,,,,,,,,,,,,,,,,,,
StraViso,,,,,,,,,,,,,,,,,,,,
Skuad,,,,,,,,,,,,,,,,,,,,
EagleView India,28.193235,94.154038,"Arunachal Pradesh, India",Arunachal Pradesh,,,,,,,,,,,India,in,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
System Soft Technologies,16.5260038,80.7796088,"EP Soft Technologies, NH16, Venkatanarasimhapuram, Gannavaram - 521101, AP, India",EP Soft Technologies,,NH16,,Venkatanarasimhapuram,521101,Gannavaram,Gannavaram,KR,Andhra Pradesh,AP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ITOrizon,,,,,,,,,,,,,,,,,,,,
Aztecsoft,18.5933986,73.7329463,"Aztecsoft, Service Road, Hinjawadi Phase 1, Hinjawadi - 411057, MH, India",Aztecsoft,,Service Road,,Hinjawadi Phase 1,411057,Hinjawadi,Mulshi,PU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jeevan Technologies,12.9690353,77.647926,"Dbaux Technologies, Floor 2, Jeevan Bhima Nagar Main Road, Indiranagar, Bengaluru - 560075, KA, India",Dbaux Technologies,Floor 2,Jeevan Bhima Nagar Main Road,Bengaluru Central City Corporation,Indiranagar,560075,Bengaluru,Bangalore East,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BoardEx,,,,,,,,,,,,,,,,,,,,
Techpoint,,,,,,,,,,,,,,,,,,,,
Komprise,,,,,,,,,,,,,,,,,,,,
FUGO Services,30.111017,78.2825,"Services, Someshwar Nagar, Rishikesh - 249201, UT, India",,,Services,,Someshwar Nagar,249201,Rishikesh,Dehradun,DD,Uttarakhand,UT,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Collaborate Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,East Bangalore,Mobipro Solutions,,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Inspirage,,,,,,,,,,,,,,,,,,,,
Tetrasoft,,,,,,,,,,,,,,,,,,,,
"SpringML,",,,,,,,,,,,,,,,,,,,,
Geval6 Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,Webmyne INC,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
EDR Continuous Information,,,,,,,,,,,,,,,,,,,,
Manappuram Comptech & Consultants,10.5362904,76.2154077,"Manappuram Comptech and Consultants Lmtd, Kovilakam Padam Road, Chembukkavu, Thrissur - 680022, KL, India",Manappuram Comptech and Consultants Lmtd,,Kovilakam Padam Road,,Chembukkavu,680022,Thrissur,Thrissur,TS,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Silverline,12.900276,77.6500415,"Akruthi Silverline, Agara, Bengaluru - 560102, KA, India",Akruthi Silverline,,,Bengaluru South City Corporation,Agara,560102,Bengaluru,Bangalore South,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SumTotal Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,,,390007,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Logisoft Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Aequor Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
TAC,27.1750075,78.0421013,"Taj Mahal, Taj East Gate Road, Taj Ganj, Agra - 282004, UP, India",Taj Mahal,,Taj East Gate Road,,Taj Ganj,282004,Agra,Agra,,Uttar Pradesh,UP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mindstix Software Labs,18.5740173,73.7696176,"Fintalk Software Labs Pvt. Ltd., A-4, Kiran Suyog, Laxman Nagar, Balewadi, Balewadi Road, Balewadi, Pune - 411045, MH, India",Fintalk Software Labs Pvt. Ltd.,"A-4, Kiran Suyog, Laxman Nagar, Balewadi",Balewadi Road,Aundh,Balewadi,411045,Pune,Pune City,PU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"SSIT,",23.1149923,72.6301367,"SSIT (Shree Swaminarayan institute of technology), Gandhinagar-Ahmedabad Highway, Bhat, Bhat - 382428, GJ, India",SSIT (Shree Swaminarayan institute of technology),,Gandhinagar-Ahmedabad Highway,,Bhat,382428,Bhat,Gandhinagar Taluka,GA,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Noblesoft Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
i,,,,,,,,,,,,,,,,,,,,
Sears Holdings India,9.9650388,76.3021862,"JSF Holdings, Cheruparambath Road, Kadavanthra, Ernakulam - 682020, KL, India",JSF Holdings,,Cheruparambath Road,,Kadavanthra,682020,Ernakulam,Kanayannur,ER,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AmZetta Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
OneGlobe,,,,,,,,,,,,,,,,,,,,
Aethereus,,,,,,,,,,,,,,,,,,,,
Napier Healthcare,8.5089308,76.9551433,"Napier Museum, Museum Road, Vellayambalam, Thiruvananthapuram - 695001, KL, India",Napier Museum,,Museum Road,Lenin Nagar,Vellayambalam,695001,Thiruvananthapuram,Thiruvananthapuram,TV,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ITILITE,,,,,,,,,,,,,,,,,,,,
Truminds Software Systems,12.970549,77.645716,"Accord Software & Systems Pvt Ltd, Hoysala Nagar, Bangalore - 560038, KA, India",Accord Software & Systems Pvt Ltd,,,East Bangalore,Hoysala Nagar,560038,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ultimate Digital Solutions,26.902074,75.835389,"RasuKoo Digital Solutions, D-20/21, Mandir Marg, Adarsh Nagar, Jaipur - 302004, RJ, India",RasuKoo Digital Solutions,D-20/21,Mandir Marg,Saket Colony,Adarsh Nagar,302004,Jaipur,Jaipur Tehsil,JP,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
U3 Infotech,12.9819012,77.7227821,"Larsen & Toubro Infotech Ltd, 25 - 31, Kaveri Nagara, Bengaluru - 560066, KA, India",Larsen & Toubro Infotech Ltd,25 - 31,,Bengaluru East City Corporation,Kaveri Nagara,560066,Bengaluru,Bangalore East,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Telliant Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,,,390007,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Business Integra Inc,22.2714556,70.7979507,"ATLANTIC BUSINESS INC, 3, Ram Nagar, Swami Vivekananda Flyover, Rajkot - 360004, GJ, India",ATLANTIC BUSINESS INC,"3, Ram Nagar",Swami Vivekananda Flyover,,,360004,Rajkot,Rajkot East Taluka,RK,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
The MIL Corporation,13.093363,80.2853725,"The Indian Leather Corporation Limited, Davidson Street, Zone 5 Royapuram, Chennai - 600079, TN, India",The Indian Leather Corporation Limited,,Davidson Street,CMWSSB Division 57,Zone 5 Royapuram,600079,Chennai,Chennai,CH,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
