original_Names,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,county_code,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Angara E,23.402472,85.510425,"Angara - 835104, JH, India",,,,,,835104,Angara,Angara,,Jharkhand,JH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
GoldenSource,,,,,,,,,,,,,,,,,,,,
Docmation,,,,,,,,,,,,,,,,,,,,
Codelogicx,,,,,,,,,,,,,,,,,,,,
DotPe,,,,,,,,,,,,,,,,,,,,
Infollion Research Services,12.973453,77.6163347,"Millward Brown Market Research Services India Pvt. Ltd, Mahatma Gandhi Road, K Kamaraj Ward, Bengaluru - 560042, KA, India",Millward Brown Market Research Services India Pvt. Ltd,,Mahatma Gandhi Road,Bengaluru Central City Corporation,K Kamaraj Ward,560042,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zemoso Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
BURGEON IT SERVICES,28.5396614,77.2697139,"Accel IT Services, A-61/1, Okhla Industrial Area Phase 2, Sarita Vihar Tehsil, Delhi - 110020, DL, India",Accel IT Services,A-61/1,Okhla Industrial Area Phase 2,South East Delhi,Sarita Vihar Tehsil,110020,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ECS Fin,22.7559102,75.8949514,"ECS bagless school, N Service Road, Indore City, Indore - 452001, MP, India",ECS bagless school,,N Service Road,Indore City,,452001,Indore,Juni Indore Tahsil,IN,Madhya Pradesh,MP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Innobox,,,,,,,,,,,,,,,,,,,,
Kale Logistics Solutions,20.982294,76.438241,"Pimpalgaon Kale, Buldhana, India",,,,,,,Pimpalgaon Kale,Buldhana,,Maharashtra,MH,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Mindpool Technologies Inc,28.443763,77.0564541,"Keysight Technologies Inc, Tower-D, 39, Shaheed Major Vikas Yadav Marg, Sector 39, Gurgaon - 122003, HR, India",Keysight Technologies Inc,"Tower-D, 39",Shaheed Major Vikas Yadav Marg,Gurgaon,Sector 39,122003,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Health Prime,13.0522176,80.2056967,"Prime Health Care Clinics, S S Pankajam Road, Zone 10 Kodambakkam, Chennai - 600026, TN, India",Prime Health Care Clinics,,S S Pankajam Road,CMWSSB Division 129,Zone 10 Kodambakkam,600026,Chennai,Chennai,CH,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"ISSQUARED,",,,,,,,,,,,,,,,,,,,,
ForecastEra,,,,,,,,,,,,,,,,,,,,
Bobcares,,,,,,,,,,,,,,,,,,,,
AIT Global India,25.892699,79.24153,"Ait, Jalaun, India",,,,,,,Ait,Jalaun,,Uttar Pradesh,UP,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Innoval Digital Solutions,26.902074,75.835389,"RasuKoo Digital Solutions, D-20/21, Mandir Marg, Adarsh Nagar, Jaipur - 302004, RJ, India",RasuKoo Digital Solutions,D-20/21,Mandir Marg,Saket Colony,Adarsh Nagar,302004,Jaipur,Jaipur Tehsil,JP,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Netenric,",,,,,,,,,,,,,,,,,,,,
Apty,,,,,,,,,,,,,,,,,,,,
Altius,12.9814872,77.5983584,"Mantri Altius, Vasanth Nagar, Bengaluru - 560001, KA, India",Mantri Altius,,,Bengaluru Central City Corporation,Vasanth Nagar,560001,Bengaluru,Bangalore North,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clearbit,,,,,,,,,,,,,,,,,,,,
Beetel,10.9804615,76.9993269,"Beetel Apartments, Nanjundapuram Road, Ward 75, Nanjundapuram - 661005, TN, India",Beetel Apartments,,Nanjundapuram Road,East Zone,Ward 75,661005,Nanjundapuram,Coimbatore South,CM,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Neutrino Tech Systems,9.0888618,76.6382545,"Apple Tech Plus Systems, Kollam - Teni Highway, Chakkuvally, Sooranad - 690520, KL, India",Apple Tech Plus Systems,,Kollam - Teni Highway,Chakkuvally,,690520,Sooranad,Kunnathur,KL,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ProdEx Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Lighthouse Info Systems,15.74745,76.188771,"PN Info Systems Kushtagi, 5, Bus Stand Road, Kushtagi - 583277, KA, India",PN Info Systems Kushtagi,5,Bus Stand Road,,,583277,Kushtagi,Koppal,KP,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
HeadSpin,,,,,,,,,,,,,,,,,,,,
Rooter App,23.821833,86.754583,"Approach Road, Sana -, JH, India",,,Approach Road,,,,Sana,Dhanbad,DH,Jharkhand,JH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
CometChat,,,,,,,,,,,,,,,,,,,,
Micropro Software Solutions,12.9864281,77.5952553,"Planvisage Software Solutions, 35/1, 2nd Floor, Cunningham Hallmark, Cunningham Road, Vasanth Nagar, Bengaluru - 560001, KA, India",Planvisage Software Solutions,"35/1, 2nd Floor, Cunningham Hallmark",Cunningham Road,Bengaluru Central City Corporation,Vasanth Nagar,560001,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bitwise India,18.5569479,73.7694818,"Bitwise, Katraj - Dehu Road Bypass, Baner, Pune - 411001, MH, India",Bitwise,,Katraj - Dehu Road Bypass,,Baner,411001,Pune,Pune City,,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
eQ Technologic,23.839029,91.2839463,"eq, B.K. Road, Radha Nagar, Agartala - 799001, TR, India",eq,,B.K. Road,Haradhan Sangha,Radha Nagar,799001,Agartala,Mohanpur,WE,Tripura,TR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cloudaction,,,,,,,,,,,,,,,,,,,,
Vertex Global Services,12.980156,77.602371,"VFS Global Services, Unit No. 305, Level 3, Second Floor, Prestige Atrium, No.1 Central Street, Shivaji Nagar, Central Street, Sampangiram Nagar, Bangalore - 560001, KA, India",VFS Global Services,"Unit No. 305, Level 3, Second Floor, Prestige Atrium, No.1 Central Street, Shivaji Nagar",Central Street,East Bangalore,Sampangiram Nagar,560001,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TRIARQ Health India,10.402365,76.147462,"Health Center, Karamuck, Thrissur, India",Health Center,,,,Health Center,,Karamuck,Thrissur,,Kerala,KL,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Simpplr,,,,,,,,,,,,,,,,,,,,
"Josh Software,",25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,NH325,,,343001,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
InSync Solutions,12.956634,77.745788,"Insync, Varthuru, Bangalore - 560087, KA, India",Insync,,,Mahadevapura,Varthuru,560087,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tecplix Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
